epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,274.28,0.7905,0.86239,0.50169,0.95625,0.99452,1,0.995,0.85867,0.99452,1,0.995,0.70729,0.65095,1.50022,0.42032,0.99697,0.0008219,0.0008219,0.0008219
121,276.212,0.83543,0.84135,0.50735,0.94757,0.99444,1,0.995,0.84434,0.99444,1,0.995,0.71165,0.69532,1.5201,0.46854,1.01577,0.000812,0.000812,0.000812
122,278.296,0.81614,0.87699,0.48385,0.93354,0.99423,1,0.995,0.86716,0.99423,1,0.995,0.76901,0.60486,1.55252,0.44926,0.96798,0.0008021,0.0008021,0.0008021
123,280.935,0.76261,0.92302,0.48439,0.91146,0.99475,1,0.995,0.84821,0.99475,1,0.995,0.74117,0.66905,1.54386,0.42742,0.97018,0.0007922,0.0007922,0.0007922
124,283.101,0.77441,0.84728,0.49633,0.92969,0.99485,1,0.995,0.86744,0.99485,1,0.995,0.75145,0.59632,1.40671,0.44859,0.96682,0.0007823,0.0007823,0.0007823
125,285.052,0.74238,0.87682,0.47213,0.91905,0.99506,1,0.995,0.85081,0.99506,1,0.995,0.76772,0.60086,1.33119,0.43835,0.99209,0.0007724,0.0007724,0.0007724
126,287.028,0.73792,0.8495,0.48552,0.93197,0.99489,1,0.995,0.86001,0.99489,1,0.995,0.73274,0.6361,1.29985,0.4229,0.99214,0.0007625,0.0007625,0.0007625
127,288.989,0.73701,0.90375,0.47197,0.92501,0.99488,1,0.995,0.83864,0.99488,1,0.995,0.72856,0.67153,1.23365,0.42028,0.987,0.0007526,0.0007526,0.0007526
128,290.963,0.76961,0.80518,0.47112,0.91607,0.99476,1,0.995,0.85644,0.99476,1,0.995,0.77171,0.64477,1.21582,0.41089,0.99428,0.0007427,0.0007427,0.0007427
129,293.572,0.74736,0.86979,0.47099,0.9107,0.99505,1,0.995,0.83072,0.99505,1,0.995,0.7571,0.64993,1.23997,0.39464,1.01146,0.0007328,0.0007328,0.0007328
130,295.912,0.70246,0.84164,0.4488,0.91189,0.99499,1,0.995,0.81928,0.99499,1,0.995,0.79024,0.6588,1.16671,0.3818,1.02316,0.0007229,0.0007229,0.0007229
131,297.859,0.70489,0.85638,0.46525,0.93056,0.99527,1,0.995,0.83909,0.99527,1,0.995,0.79937,0.61971,1.14979,0.36351,1.00656,0.000713,0.000713,0.000713
132,299.799,0.74817,0.79705,0.46399,0.90537,0.99527,1,0.995,0.84975,0.99527,1,0.995,0.76179,0.57016,1.07548,0.34966,0.98671,0.0007031,0.0007031,0.0007031
